Category,CustomerName,CustomerNumber,InvoiceNumber,InvoiceAmount,InvoiceDate,DueDate,ForecastCode,ForecastDate,Collector
Yellow,Barbara Company,734469,DR1259,"81,856,068",2024-07-01,2024-07-31,FCST,2024-07-25,John
Yellow,Kimberly Company,988587,UZ1823,"65,683,945",2024-07-10,2024-08-09,AUTO,2024-08-13,David
Red,Jessica Company,850024,WB1260,"26,286,163",2024-07-23,2024-08-22,FCST,2024-08-28,David
Green,Joseph Company,285990,VZ0420,"4,815,639",2024-07-11,2024-08-10,SWNG,2024-08-06,Michael
Red,Sandra Company,955732,QJ1694,"53,305,511",2024-07-23,2024-08-22,,2024-08-26,David
Yellow,John Company,609764,GP9904,"86,433,665",2024-07-18,2024-08-17,SWNG,2024-08-18,Lisa
Red,Dorothy Company,496375,CR8704,"53,299,446",2024-07-20,2024-08-19,SWNG,2024-08-11,Michael
Green,Margaret Company,920270,BB2275,"31,206,176",2024-07-23,2024-08-22,FCST,2024-08-21,Mary
Yellow,Richard Company,381549,VJ1274,"19,832,563",2024-07-04,2024-08-03,SWNG,2024-08-06,John
Yellow,Sandra Company,253666,VO8651,"17,694,788",2024-07-05,2024-08-04,AUTO,2024-07-28,Mary
Yellow,Donna Company,887391,TB5394,"23,595,131",2024-07-19,2024-08-18,AUTO,2024-08-17,Michael
Red,Linda Company,917348,FJ0298,"28,476,545",2024-07-05,2024-08-04,,2024-08-11,John
Green,Donald Company,603966,GR8210,"81,292,416",2024-07-05,2024-08-04,SWNG,2024-08-04,Mary
Red,Sandra Company,700504,MO9787,"47,383,578",2024-07-13,2024-08-12,FCST,2024-08-12,John
Yellow,Michael Company,382124,HN9454,"22,491,113",2024-07-12,2024-08-11,AUTO,2024-08-16,Michael
Yellow,Matthew Company,326176,CB0369,"38,843,456",2024-07-21,2024-08-20,FCST,2024-08-12,Mary
Yellow,Sandra Company,373349,GI2442,"31,578,701",2024-07-16,2024-08-15,FCST,2024-08-17,Lisa
Green,Robert Company,553924,HR0502,"41,273,501",2024-07-23,2024-08-22,SWNG,2024-08-12,Mary
Red,Mary Company,843937,NA7031,"40,574,861",2024-07-29,2024-08-28,AUTO,2024-08-25,Lisa
Yellow,Jessica Company,965014,QW9718,"9,647,036",2024-07-01,2024-07-31,SWNG,2024-07-29,Lisa
,William Company,949725,VD1998,"4,066,408",2024-07-29,2024-08-28,FCST,2024-09-02,David
Red,Carolyn Company,779714,MJ8802,"32,490,197",2024-07-22,2024-08-21,AUTO,2024-08-24,Mary
Red,Jane Company,743395,TL5562,"36,273,893",2024-07-12,2024-08-11,AUTO,2024-08-04,David
Red,Donald Company,615273,IC8811,"87,838,183",2024-07-28,2024-08-27,AUTO,2024-08-24,David
,Robert Company,395454,BE3794,"85,429,432",2024-07-29,2024-08-28,FCST,2024-09-04,John
Yellow,Daniel Company,431033,MM9897,"42,476,771",2024-07-02,2024-08-01,AUTO,2024-07-29,David
,Richard Company,738444,ST9528,"76,572,997",2024-07-23,2024-08-22,SWNG,2024-08-17,John
Green,Mary Company,266370,CM7350,"4,545,628",2024-07-28,2024-08-27,FCST,2024-08-27,Mary
,Sarah Company,388258,ES8574,"91,145,514",2024-07-17,2024-08-16,FCST,2024-08-25,Mary
,Sarah Company,397850,ZR3030,"18,605,484",2024-07-19,2024-08-18,FCST,2024-08-24,Mary
Yellow,Matthew Company,388747,QF4828,"20,308,507",2024-07-22,2024-08-21,FCST,2024-08-27,John
Red,Jane Company,160985,KJ8086,"55,025,545",2024-07-06,2024-08-05,SWNG,2024-08-05,Lisa
Yellow,Kimberly Company,417021,LM8616,"92,473,035",2024-07-18,2024-08-17,AUTO,2024-08-13,Lisa
,Dorothy Company,729800,UG7132,"80,627,659",2024-07-12,2024-08-11,SWNG,2024-08-01,Michael
